id,topic,speaker_1_en,speaker_1_gujlish,speaker_2_en,speaker_2_gujlish
908,Trip to Goa / Friend's Wedding,We should try water sports!,Aapde water sports try karva joie!,The food was really good!,Food toh khub j tasty hatu!
2422,Weather Changes / Delhi Traffic,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.,Traffic was horrible today!,Aaje traffic to bhayanak hatu!
2258,Weather Changes / Cricket Match,It’s so hot these days!,Aaje kalak ghanu garmi che!,Was it a close game?,Game tight hatu ke easy?
1542,Diwali Prep / Asking Directions,Have you bought crackers?,Tame patakha laya?,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
440,Asking Directions / Old vs New Songs,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
166,Weekend Plans / Cricket Match,Do you want to watch a movie?,Movie jovani ichchha che tane?,Was it a close game?,Game tight hatu ke easy?
647,Cricket Match / Old vs New Songs,Who won the match yesterday?,Gaya kale kon jeetyu match ma?,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
2349,Weather Changes / Weekend Plans,I love winter mornings.,Mane sheet rutu ni savar bau game.,Let’s go on a bike ride!,Chal ne bike ride par jaiye!
855,Trip to Goa / Street vs Restaurant Food,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,Let’s eat outside today!,Chal aaje bahar jamva jaiye!
1864,Street vs Restaurant Food / Delhi Traffic,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.
2101,Friend's Wedding / Asking Directions,The food was really good!,Food toh khub j tasty hatu!,How far is the airport from here?,Ahiya thi airport ketlu door che?
57,Weekend Plans / Ordering Food,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.,We’ll take two plates of dosa.,Ame be plate dosa levana che.
2563,Gym/Fitness / Cricket Match,I feel healthier now.,Mane have healthy feel thay che.,Who won the match yesterday?,Gaya kale kon jeetyu match ma?
1275,Delhi Traffic / Gym/Fitness,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.
1400,Delhi Traffic / Bollywood Movie,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.,I liked the climax a lot.,Mane climax bau gamyu.
15,Weekend Plans / Cricket Match,Are you free this Sunday?,Aa Ravivare tamne time che?,I missed the final over.,Hu last over joi na shakyo.
2526,Gym/Fitness / Delhi Traffic,Weight training is tough!,Weight training to bau j hard che!,It’s better to use metro.,Metro vapravu kharekhar sari idea che.
857,Trip to Goa / Friend's Wedding,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,The food was really good!,Food toh khub j tasty hatu!
1874,Street vs Restaurant Food / Street vs Restaurant Food,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.
1197,Bollywood Movie / Delhi Traffic,Who was the director?,Director kon hatu?,Traffic was horrible today!,Aaje traffic to bhayanak hatu!
691,Cricket Match / Diwali Prep,Was it a close game?,Game tight hatu ke easy?,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.
14,Weekend Plans / Cricket Match,Are you free this Sunday?,Aa Ravivare tamne time che?,India gave a strong performance!,India ye jabardast performance aapyu!
888,Trip to Goa / Bollywood Movie,We should try water sports!,Aapde water sports try karva joie!,The acting was average though.,Acting thodi average hati.
2332,Weather Changes / Street vs Restaurant Food,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
1192,Bollywood Movie / Trip to Goa,Who was the director?,Director kon hatu?,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.
2033,Street vs Restaurant Food / Weather Changes,Let’s eat outside today!,Chal aaje bahar jamva jaiye!,It’s so hot these days!,Aaje kalak ghanu garmi che!
2290,Weather Changes / Weather Changes,It’s so hot these days!,Aaje kalak ghanu garmi che!,I love winter mornings.,Mane sheet rutu ni savar bau game.
133,Weekend Plans / Diwali Prep,Let’s go on a bike ride!,Chal ne bike ride par jaiye!,Diwali shopping is still pending.,Diwali shopping to baki j che.
517,Asking Directions / Ordering Food,Can you guide me to City Mall?,City Mall sudhi marg batavo?,We’ll take two plates of dosa.,Ame be plate dosa levana che.
2385,Weather Changes / Street vs Restaurant Food,I love winter mornings.,Mane sheet rutu ni savar bau game.,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.
792,Cricket Match / Delhi Traffic,I missed the final over.,Hu last over joi na shakyo.,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.
1257,Delhi Traffic / Old vs New Songs,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,New songs have better beats.,Nava gaano ma beat saru hoy.
105,Weekend Plans / Weekend Plans,Let’s go on a bike ride!,Chal ne bike ride par jaiye!,Do you want to watch a movie?,Movie jovani ichchha che tane?
646,Cricket Match / Old vs New Songs,Who won the match yesterday?,Gaya kale kon jeetyu match ma?,I prefer Kishore Kumar over Badshah.,Mane Kishore Kumar vadhu game.
1557,Diwali Prep / Delhi Traffic,Have you bought crackers?,Tame patakha laya?,It’s better to use metro.,Metro vapravu kharekhar sari idea che.
1650,Old vs New Songs / Trip to Goa,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.,We should try water sports!,Aapde water sports try karva joie!
1697,Old vs New Songs / Cricket Match,New songs have better beats.,Nava gaano ma beat saru hoy.,Was it a close game?,Game tight hatu ke easy?
2380,Weather Changes / Old vs New Songs,I love winter mornings.,Mane sheet rutu ni savar bau game.,New songs have better beats.,Nava gaano ma beat saru hoy.
664,Cricket Match / Weekend Plans,Was it a close game?,Game tight hatu ke easy?,Are you free this Sunday?,Aa Ravivare tamne time che?
2180,Friend's Wedding / Street vs Restaurant Food,They looked so happy together.,E loko khub j happy lagta hata.,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.
2535,Gym/Fitness / Old vs New Songs,Weight training is tough!,Weight training to bau j hard che!,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
2268,Weather Changes / Bollywood Movie,It’s so hot these days!,Aaje kalak ghanu garmi che!,Who was the director?,Director kon hatu?
982,Trip to Goa / Cricket Match,I can’t wait for this trip!,Hu aa trip mate excited chu!,Who won the match yesterday?,Gaya kale kon jeetyu match ma?
2625,Gym/Fitness / Bollywood Movie,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,Who was the director?,Director kon hatu?
1964,Street vs Restaurant Food / Delhi Traffic,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.,My cab took 2 hours for 10 km.,10 km ma cab ne be kalak lagya.
2604,Gym/Fitness / Weekend Plans,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,Let’s go on a bike ride!,Chal ne bike ride par jaiye!
1471,Diwali Prep / Friend's Wedding,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.,The wedding was well organized.,Lagna khub saro rite thai.
1277,Delhi Traffic / Weekend Plans,My cab took 2 hours for 10 km.,10 km ma cab ne be kalak lagya.,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.
973,Trip to Goa / Weekend Plans,I can’t wait for this trip!,Hu aa trip mate excited chu!,Do you want to watch a movie?,Movie jovani ichchha che tane?
186,Weekend Plans / Old vs New Songs,Do you want to watch a movie?,Movie jovani ichchha che tane?,New songs have better beats.,Nava gaano ma beat saru hoy.
1708,Old vs New Songs / Delhi Traffic,New songs have better beats.,Nava gaano ma beat saru hoy.,Traffic was horrible today!,Aaje traffic to bhayanak hatu!
1151,Bollywood Movie / Diwali Prep,I liked the climax a lot.,Mane climax bau gamyu.,Mom made chakri and sweets.,Mummy ye chakri ane mithai banavi.
295,Ordering Food / Friend's Wedding,Is the pav bhaji spicy?,Pav bhaji tikhi che?,Did you see her wedding dress?,Tame eni wedding dress joi?
639,Cricket Match / Delhi Traffic,Who won the match yesterday?,Gaya kale kon jeetyu match ma?,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.
1916,Street vs Restaurant Food / Diwali Prep,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.
1144,Bollywood Movie / Bollywood Movie,I liked the climax a lot.,Mane climax bau gamyu.,The acting was average though.,Acting thodi average hati.
1357,Delhi Traffic / Diwali Prep,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,Diwali shopping is still pending.,Diwali shopping to baki j che.
1437,Diwali Prep / Asking Directions,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?
124,Weekend Plans / Bollywood Movie,Let’s go on a bike ride!,Chal ne bike ride par jaiye!,I liked the climax a lot.,Mane climax bau gamyu.
1854,Street vs Restaurant Food / Trip to Goa,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,We should try water sports!,Aapde water sports try karva joie!
1696,Old vs New Songs / Cricket Match,New songs have better beats.,Nava gaano ma beat saru hoy.,Who won the match yesterday?,Gaya kale kon jeetyu match ma?
2416,Weather Changes / Trip to Goa,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.
2459,Gym/Fitness / Asking Directions,I started yoga recently.,Hu have yoga sharu karyu che.,Can you guide me to City Mall?,City Mall sudhi marg batavo?
1886,Street vs Restaurant Food / Gym/Fitness,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,I feel healthier now.,Mane have healthy feel thay che.
75,Weekend Plans / Delhi Traffic,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.,Traffic was horrible today!,Aaje traffic to bhayanak hatu!
50,Weekend Plans / Gym/Fitness,Are you free this Sunday?,Aa Ravivare tamne time che?,I feel healthier now.,Mane have healthy feel thay che.
38,Weekend Plans / Street vs Restaurant Food,Are you free this Sunday?,Aa Ravivare tamne time che?,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.
837,Trip to Goa / Bollywood Movie,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,The acting was average though.,Acting thodi average hati.
1455,Diwali Prep / Delhi Traffic,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.,It’s better to use metro.,Metro vapravu kharekhar sari idea che.
1258,Delhi Traffic / Old vs New Songs,Traffic was horrible today!,Aaje traffic to bhayanak hatu!,I prefer Kishore Kumar over Badshah.,Mane Kishore Kumar vadhu game.
1593,Diwali Prep / Asking Directions,Diwali shopping is still pending.,Diwali shopping to baki j che.,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
1837,Street vs Restaurant Food / Weekend Plans,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,Are you free this Sunday?,Aa Ravivare tamne time che?
812,Cricket Match / Weather Changes,I missed the final over.,Hu last over joi na shakyo.,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.
719,Cricket Match / Ordering Food,India gave a strong performance!,India ye jabardast performance aapyu!,"Can I see the menu, please?",Menu joi shaku chu?
2262,Weather Changes / Trip to Goa,It’s so hot these days!,Aaje kalak ghanu garmi che!,We should try water sports!,Aapde water sports try karva joie!
2491,Gym/Fitness / Friend's Wedding,I started yoga recently.,Hu have yoga sharu karyu che.,They looked so happy together.,E loko khub j happy lagta hata.
2584,Gym/Fitness / Old vs New Songs,I feel healthier now.,Mane have healthy feel thay che.,New songs have better beats.,Nava gaano ma beat saru hoy.
2184,Friend's Wedding / Friend's Wedding,They looked so happy together.,E loko khub j happy lagta hata.,The food was really good!,Food toh khub j tasty hatu!
2477,Gym/Fitness / Diwali Prep,I started yoga recently.,Hu have yoga sharu karyu che.,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.
608,Asking Directions / Weather Changes,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.
272,Ordering Food / Trip to Goa,Is the pav bhaji spicy?,Pav bhaji tikhi che?,We should try water sports!,Aapde water sports try karva joie!
585,Asking Directions / Delhi Traffic,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.,Traffic was horrible today!,Aaje traffic to bhayanak hatu!
476,Asking Directions / Trip to Goa,How far is the airport from here?,Ahiya thi airport ketlu door che?,We should try water sports!,Aapde water sports try karva joie!
778,Cricket Match / Cricket Match,I missed the final over.,Hu last over joi na shakyo.,Who won the match yesterday?,Gaya kale kon jeetyu match ma?
328,Ordering Food / Bollywood Movie,We’ll take two plates of dosa.,Ame be plate dosa levana che.,I liked the climax a lot.,Mane climax bau gamyu.
303,Ordering Food / Gym/Fitness,Is the pav bhaji spicy?,Pav bhaji tikhi che?,I started yoga recently.,Hu have yoga sharu karyu che.
706,Cricket Match / Friend's Wedding,Was it a close game?,Game tight hatu ke easy?,The wedding was well organized.,Lagna khub saro rite thai.
624,Cricket Match / Asking Directions,Who won the match yesterday?,Gaya kale kon jeetyu match ma?,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
1179,Bollywood Movie / Ordering Food,Who was the director?,Director kon hatu?,Is the pav bhaji spicy?,Pav bhaji tikhi che?
2339,Weather Changes / Friend's Wedding,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.,The wedding was well organized.,Lagna khub saro rite thai.
1788,Old vs New Songs / Weekend Plans,Remixes ruin the originals.,Remix toh original no charm lai lidhe.,Let’s go on a bike ride!,Chal ne bike ride par jaiye!
2328,Weather Changes / Old vs New Songs,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
571,Asking Directions / Asking Directions,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.,How far is the airport from here?,Ahiya thi airport ketlu door che?
1609,Diwali Prep / Delhi Traffic,Diwali shopping is still pending.,Diwali shopping to baki j che.,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.
2002,Street vs Restaurant Food / Cricket Match,Let’s eat outside today!,Chal aaje bahar jamva jaiye!,Who won the match yesterday?,Gaya kale kon jeetyu match ma?
2007,Street vs Restaurant Food / Trip to Goa,Let’s eat outside today!,Chal aaje bahar jamva jaiye!,We should try water sports!,Aapde water sports try karva joie!
2122,Friend's Wedding / Diwali Prep,The food was really good!,Food toh khub j tasty hatu!,Have you bought crackers?,Tame patakha laya?
906,Trip to Goa / Street vs Restaurant Food,We should try water sports!,Aapde water sports try karva joie!,Let’s eat outside today!,Chal aaje bahar jamva jaiye!
597,Asking Directions / Street vs Restaurant Food,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
503,Asking Directions / Weather Changes,How far is the airport from here?,Ahiya thi airport ketlu door che?,It’s so hot these days!,Aaje kalak ghanu garmi che!
2516,Gym/Fitness / Trip to Goa,Weight training is tough!,Weight training to bau j hard che!,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?
2553,Gym/Fitness / Weekend Plans,I feel healthier now.,Mane have healthy feel thay che.,Let’s go on a bike ride!,Chal ne bike ride par jaiye!
1596,Diwali Prep / Cricket Match,Diwali shopping is still pending.,Diwali shopping to baki j che.,India gave a strong performance!,India ye jabardast performance aapyu!
360,Ordering Food / Weekend Plans,Do you serve cold coffee?,Tamare cold coffee male che?,Let’s go on a bike ride!,Chal ne bike ride par jaiye!
1791,Old vs New Songs / Ordering Food,Remixes ruin the originals.,Remix toh original no charm lai lidhe.,Is the pav bhaji spicy?,Pav bhaji tikhi che?
1362,Delhi Traffic / Street vs Restaurant Food,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
123,Weekend Plans / Bollywood Movie,Let’s go on a bike ride!,Chal ne bike ride par jaiye!,The acting was average though.,Acting thodi average hati.
2408,Weather Changes / Asking Directions,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.,Can you guide me to City Mall?,City Mall sudhi marg batavo?
1327,Delhi Traffic / Weekend Plans,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,Are you free this Sunday?,Aa Ravivare tamne time che?
989,Trip to Goa / Bollywood Movie,I can’t wait for this trip!,Hu aa trip mate excited chu!,That movie had great songs.,E movie ma khub sara gaana hata.
693,Cricket Match / Diwali Prep,Was it a close game?,Game tight hatu ke easy?,Have you bought crackers?,Tame patakha laya?
578,Asking Directions / Trip to Goa,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.,We should try water sports!,Aapde water sports try karva joie!
1161,Bollywood Movie / Street vs Restaurant Food,I liked the climax a lot.,Mane climax bau gamyu.,Let’s eat outside today!,Chal aaje bahar jamva jaiye!
1840,Street vs Restaurant Food / Weekend Plans,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,Do you want to watch a movie?,Movie jovani ichchha che tane?
2323,Weather Changes / Delhi Traffic,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.
1417,Delhi Traffic / Friend's Wedding,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.,Did you see her wedding dress?,Tame eni wedding dress joi?
2465,Gym/Fitness / Trip to Goa,I started yoga recently.,Hu have yoga sharu karyu che.,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?
1638,Old vs New Songs / Ordering Food,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.,Is the pav bhaji spicy?,Pav bhaji tikhi che?
2281,Weather Changes / Street vs Restaurant Food,It’s so hot these days!,Aaje kalak ghanu garmi che!,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
593,Asking Directions / Old vs New Songs,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
1653,Old vs New Songs / Bollywood Movie,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.,That movie had great songs.,E movie ma khub sara gaana hata.
1701,Old vs New Songs / Trip to Goa,New songs have better beats.,Nava gaano ma beat saru hoy.,We should try water sports!,Aapde water sports try karva joie!
2413,Weather Changes / Cricket Match,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.,I missed the final over.,Hu last over joi na shakyo.
93,Weekend Plans / Friend's Wedding,I’m planning to relax at home.,Hu ghar par relax karvano plan karu chu.,They looked so happy together.,E loko khub j happy lagta hata.
565,Asking Directions / Weekend Plans,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.,Do you want to watch a movie?,Movie jovani ichchha che tane?
2579,Gym/Fitness / Diwali Prep,I feel healthier now.,Mane have healthy feel thay che.,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.
1744,Old vs New Songs / Asking Directions,I prefer Kishore Kumar over Badshah.,Mane Kishore Kumar vadhu game.,How far is the airport from here?,Ahiya thi airport ketlu door che?
1370,Delhi Traffic / Weather Changes,It’s better to use metro.,Metro vapravu kharekhar sari idea che.,It’s so hot these days!,Aaje kalak ghanu garmi che!
950,Trip to Goa / Old vs New Songs,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
404,Ordering Food / Weather Changes,Do you serve cold coffee?,Tamare cold coffee male che?,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.
1137,Bollywood Movie / Cricket Match,I liked the climax a lot.,Mane climax bau gamyu.,India gave a strong performance!,India ye jabardast performance aapyu!
2242,Friend's Wedding / Gym/Fitness,The wedding was well organized.,Lagna khub saro rite thai.,Weight training is tough!,Weight training to bau j hard che!
1468,Diwali Prep / Friend's Wedding,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.,Did you see her wedding dress?,Tame eni wedding dress joi?
1102,Bollywood Movie / Diwali Prep,The acting was average though.,Acting thodi average hati.,Diwali shopping is still pending.,Diwali shopping to baki j che.
165,Weekend Plans / Cricket Match,Do you want to watch a movie?,Movie jovani ichchha che tane?,Who won the match yesterday?,Gaya kale kon jeetyu match ma?
1520,Diwali Prep / Friend's Wedding,Mom made chakri and sweets.,Mummy ye chakri ane mithai banavi.,The food was really good!,Food toh khub j tasty hatu!
424,Asking Directions / Trip to Goa,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?
976,Trip to Goa / Ordering Food,I can’t wait for this trip!,Hu aa trip mate excited chu!,We’ll take two plates of dosa.,Ame be plate dosa levana che.
694,Cricket Match / Diwali Prep,Was it a close game?,Game tight hatu ke easy?,Diwali shopping is still pending.,Diwali shopping to baki j che.
1160,Bollywood Movie / Street vs Restaurant Food,I liked the climax a lot.,Mane climax bau gamyu.,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.
418,Asking Directions / Asking Directions,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?,Can you guide me to City Mall?,City Mall sudhi marg batavo?
963,Trip to Goa / Weather Changes,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.,Yesterday it suddenly rained.,Gai kale achanak varsad aavyo.
146,Weekend Plans / Weather Changes,Let’s go on a bike ride!,Chal ne bike ride par jaiye!,It’s so hot these days!,Aaje kalak ghanu garmi che!
1850,Street vs Restaurant Food / Cricket Match,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,Was it a close game?,Game tight hatu ke easy?
430,Asking Directions / Bollywood Movie,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?,I liked the climax a lot.,Mane climax bau gamyu.
2264,Weather Changes / Trip to Goa,It’s so hot these days!,Aaje kalak ghanu garmi che!,I can’t wait for this trip!,Hu aa trip mate excited chu!
1311,Delhi Traffic / Street vs Restaurant Food,My cab took 2 hours for 10 km.,10 km ma cab ne be kalak lagya.,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
1061,Bollywood Movie / Friend's Wedding,That movie had great songs.,E movie ma khub sara gaana hata.,The food was really good!,Food toh khub j tasty hatu!
1574,Diwali Prep / Weather Changes,Have you bought crackers?,Tame patakha laya?,It’s so hot these days!,Aaje kalak ghanu garmi che!
1074,Bollywood Movie / Weekend Plans,The acting was average though.,Acting thodi average hati.,Let’s go on a bike ride!,Chal ne bike ride par jaiye!
2471,Gym/Fitness / Bollywood Movie,I started yoga recently.,Hu have yoga sharu karyu che.,I liked the climax a lot.,Mane climax bau gamyu.
375,Ordering Food / Trip to Goa,Do you serve cold coffee?,Tamare cold coffee male che?,Let’s visit the beaches in North Goa.,North Goa na beach par jaiye.
695,Cricket Match / Old vs New Songs,Was it a close game?,Game tight hatu ke easy?,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
1474,Diwali Prep / Weather Changes,We cleaned the whole house today.,Aaje ame akhu ghar saaf karyu.,I love winter mornings.,Mane sheet rutu ni savar bau game.
1206,Bollywood Movie / Old vs New Songs,Who was the director?,Director kon hatu?,New songs have better beats.,Nava gaano ma beat saru hoy.
2089,Friend's Wedding / Gym/Fitness,Did you see her wedding dress?,Tame eni wedding dress joi?,Weight training is tough!,Weight training to bau j hard che!
1389,Delhi Traffic / Asking Directions,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
1052,Bollywood Movie / Old vs New Songs,That movie had great songs.,E movie ma khub sara gaana hata.,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.
444,Asking Directions / Street vs Restaurant Food,Is this the way to the bus stand?,Aa rasto bus stand sudhi jay che?,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!
1905,Street vs Restaurant Food / Trip to Goa,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.,We should try water sports!,Aapde water sports try karva joie!
1654,Old vs New Songs / Bollywood Movie,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.,The acting was average though.,Acting thodi average hati.
2555,Gym/Fitness / Ordering Food,I feel healthier now.,Mane have healthy feel thay che.,"Can I see the menu, please?",Menu joi shaku chu?
2405,Weather Changes / Ordering Food,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.,Do you serve cold coffee?,Tamare cold coffee male che?
177,Weekend Plans / Delhi Traffic,Do you want to watch a movie?,Movie jovani ichchha che tane?,Traffic was horrible today!,Aaje traffic to bhayanak hatu!
595,Asking Directions / Old vs New Songs,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.,I prefer Kishore Kumar over Badshah.,Mane Kishore Kumar vadhu game.
255,Ordering Food / Gym/Fitness,"Can I see the menu, please?",Menu joi shaku chu?,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.
2611,Gym/Fitness / Asking Directions,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,How far is the airport from here?,Ahiya thi airport ketlu door che?
350,Ordering Food / Weather Changes,We’ll take two plates of dosa.,Ame be plate dosa levana che.,It’s so hot these days!,Aaje kalak ghanu garmi che!
296,Ordering Food / Friend's Wedding,Is the pav bhaji spicy?,Pav bhaji tikhi che?,The food was really good!,Food toh khub j tasty hatu!
190,Weekend Plans / Street vs Restaurant Food,Do you want to watch a movie?,Movie jovani ichchha che tane?,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.
1939,Street vs Restaurant Food / Weekend Plans,Golgappa is my guilty pleasure.,Golgappa to mari weakness che.,Are you free this Sunday?,Aa Ravivare tamne time che?
1408,Delhi Traffic / Diwali Prep,I missed my meeting due to traffic.,Traffic ni wajah thi meeting miss thai.,Diwali shopping is still pending.,Diwali shopping to baki j che.
2547,Gym/Fitness / Weather Changes,Weight training is tough!,Weight training to bau j hard che!,The sky looks so cloudy today.,Aaje akash ghanu badlilu lage che.
1846,Street vs Restaurant Food / Asking Directions,Nothing beats pani puri from streets!,Street wali pani puri no jawab nathi!,How far is the airport from here?,Ahiya thi airport ketlu door che?
259,Ordering Food / Weekend Plans,Is the pav bhaji spicy?,Pav bhaji tikhi che?,Do you want to watch a movie?,Movie jovani ichchha che tane?
1279,Delhi Traffic / Weekend Plans,My cab took 2 hours for 10 km.,10 km ma cab ne be kalak lagya.,Do you want to watch a movie?,Movie jovani ichchha che tane?
828,Trip to Goa / Asking Directions,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,I am looking for MG Road.,Hu MG Road shodhi rahyo chu.
1714,Old vs New Songs / Diwali Prep,New songs have better beats.,Nava gaano ma beat saru hoy.,Have you bought crackers?,Tame patakha laya?
1669,Old vs New Songs / Street vs Restaurant Food,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.
866,Trip to Goa / Gym/Fitness,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,I feel healthier now.,Mane have healthy feel thay che.
715,Cricket Match / Weekend Plans,India gave a strong performance!,India ye jabardast performance aapyu!,Are you free this Sunday?,Aa Ravivare tamne time che?
1636,Old vs New Songs / Weekend Plans,Old songs are more meaningful.,Juna gaano ma arth vadhu hoy.,Do you want to watch a movie?,Movie jovani ichchha che tane?
1618,Diwali Prep / Street vs Restaurant Food,Diwali shopping is still pending.,Diwali shopping to baki j che.,Restaurants are more hygienic.,Restaurants ma hygiene vadhu hoy.
2382,Weather Changes / Old vs New Songs,I love winter mornings.,Mane sheet rutu ni savar bau game.,Remixes ruin the originals.,Remix toh original no charm lai lidhe.
819,Trip to Goa / Weekend Plans,Have you booked the hotel in Goa?,Goa ma hotel book kari didhu?,Let’s go on a bike ride!,Chal ne bike ride par jaiye!
1723,Old vs New Songs / Friend's Wedding,New songs have better beats.,Nava gaano ma beat saru hoy.,Did you see her wedding dress?,Tame eni wedding dress joi?
2617,Gym/Fitness / Cricket Match,Let’s join Zumba next week.,Chal Zumba class joiye agal hafta.,I missed the final over.,Hu last over joi na shakyo.
