,topic,english,gujlish
530,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
531,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
532,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
533,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
534,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
535,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
536,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
537,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
538,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
539,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
540,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
541,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
542,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
543,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
544,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
545,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
546,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
547,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
548,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
549,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
550,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
551,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
552,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
553,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
554,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
555,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
556,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
557,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
558,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
559,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
560,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
561,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
562,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
563,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
564,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
565,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
566,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
567,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
568,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
569,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
570,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
571,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
572,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
573,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
574,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
575,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
576,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
577,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
578,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
579,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
580,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
581,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
582,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
583,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
584,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
585,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
586,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
587,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
588,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
589,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
590,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
591,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
592,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
593,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
594,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
595,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
596,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
597,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
598,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
599,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
600,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
601,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
602,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
603,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
604,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
605,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
606,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
607,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
608,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
609,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
610,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
611,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
612,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
613,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
614,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
615,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
616,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
617,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
618,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
619,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
620,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
621,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
622,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
623,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
624,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
625,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
626,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
627,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
628,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
629,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
630,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
631,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
632,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
633,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
634,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
635,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
636,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
637,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
638,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
639,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
640,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
641,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
642,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
643,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
644,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
645,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
646,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
647,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
648,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
649,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
650,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
651,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
652,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
653,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
654,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
655,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
656,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
657,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
658,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
659,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
660,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
661,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
662,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
663,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
664,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
665,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
666,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
667,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
668,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
669,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
670,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
671,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
672,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
673,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
674,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
675,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
676,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
677,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
678,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
679,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
680,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
681,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
682,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
683,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
684,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
685,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
686,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
687,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
688,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
689,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
690,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
691,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
692,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
693,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
694,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
695,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
696,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
697,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
698,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
699,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
700,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
701,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
702,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
703,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
704,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
705,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
706,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
707,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
708,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
709,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
710,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
711,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
712,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
713,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
714,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
715,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
716,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
717,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
718,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
719,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
720,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
721,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
722,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
723,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
724,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
725,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
726,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
727,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
728,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
729,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
730,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
731,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
732,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
733,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
734,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
735,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
736,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
737,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
738,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
739,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
740,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
741,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
742,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
743,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
744,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
745,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
746,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
747,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
748,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
749,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
750,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
751,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
752,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
753,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
754,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
755,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
756,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
757,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
758,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
759,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
760,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
761,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
762,Ordering food at a restaurant,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
763,Ordering food at a restaurant,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
764,Ordering food at a restaurant,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
765,Ordering food at a restaurant,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
766,Ordering food at a restaurant,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
767,Ordering food at a restaurant,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
768,Asking for directions to a nearby landmark,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
769,Asking for directions to a nearby landmark,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
770,Asking for directions to a nearby landmark,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
771,Asking for directions to a nearby landmark,Letâ€™s relax at home and binge some series.,Chalo ghar e relax kariye ane kai series joiye.
772,Asking for directions to a nearby landmark,I heard thereâ€™s a concert in town this weekend.,Mane sambhalyu chhe ke aa weekend ma concert chhe shaher ma.
773,Asking for directions to a nearby landmark,We can go for a long drive and have dinner outside.,Apde ek long drive par jaiye ane bahar dinner kariye.
774,Asking for directions to a nearby landmark,What are your plans for the weekend?,Taro weekend mate shu plan chhe?
775,Asking for directions to a nearby landmark,I was thinking we could go out and watch a movie.,Hu to vichari rahyo hato ke apde movie jovay jaiye.
776,Asking for directions to a nearby landmark,Do you want to try that new restaurant nearby?,Tane navi restaurant try karvi chhe je najik ma chhe?
