,topic,gujlish,english
1010,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1011,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1012,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1013,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1014,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1015,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1016,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1017,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1018,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1019,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1020,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1021,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1022,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1023,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1024,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1025,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1026,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1027,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1028,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1029,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1030,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1031,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1032,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1033,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1034,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1035,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1036,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1037,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1038,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1039,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1040,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1041,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1042,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1043,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1044,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1045,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1046,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1047,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1048,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1049,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1050,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1051,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1052,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1053,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1054,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1055,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1056,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1057,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1058,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1059,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1060,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1061,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1062,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1063,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1064,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1065,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1066,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1067,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1068,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1069,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1070,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1071,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1072,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1073,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1074,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1075,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1076,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1077,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1078,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1079,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1080,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1081,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1082,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1083,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1084,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1085,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1086,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1087,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1088,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1089,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1090,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1091,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1092,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1093,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1094,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1095,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1096,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1097,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1098,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1099,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1100,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1101,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1102,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1103,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1104,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1105,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1106,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1107,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1108,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1109,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1110,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1111,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1112,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1113,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1114,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1115,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1116,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1117,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1118,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1119,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1120,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1121,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1122,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1123,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1124,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1125,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1126,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1127,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1128,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1129,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1130,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1131,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1132,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1133,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1134,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1135,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1136,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1137,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1138,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1139,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1140,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1141,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1142,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1143,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1144,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1145,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1146,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1147,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1148,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1149,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1150,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1151,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1152,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1153,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1154,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1155,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1156,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1157,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1158,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1159,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1160,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1161,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1162,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1163,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1164,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1165,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1166,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1167,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1168,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1169,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1170,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1171,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1172,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1173,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1174,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1175,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1176,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1177,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1178,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1179,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1180,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1181,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1182,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1183,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1184,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1185,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1186,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1187,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1188,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1189,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1190,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1191,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1192,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1193,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1194,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1195,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1196,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1197,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1198,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1199,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1200,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1201,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1202,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1203,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1204,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1205,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1206,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1207,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1208,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1209,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1210,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1211,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1212,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1213,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1214,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1215,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1216,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1217,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1218,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1219,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1220,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1221,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1222,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1223,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1224,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1225,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1226,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1227,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1228,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1229,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1230,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1231,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1232,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1233,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1234,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1235,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1236,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1237,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1238,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1239,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1240,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1241,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1242,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1243,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1244,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1245,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1246,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1247,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1248,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1249,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1250,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1251,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1252,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1253,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1254,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1255,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1256,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1257,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1258,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1259,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1260,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1261,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1262,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1263,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1264,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1265,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1266,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1267,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1268,Comparing old songs to new remixes,Old songs ni vibe alag j hoy.,Old songs have a different vibe altogether.
1269,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1270,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1271,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1272,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1273,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1274,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1275,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1276,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1277,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1278,Talking about changes in weather,Aaje bau thandi laage che.,It's feeling really cold today.
1279,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1280,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1281,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1282,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1283,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1284,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1285,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1286,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1287,Debating street food vs. restaurant food,Street food tasty hoy pan hygiene kharab hoy.,Street food is tasty but the hygiene is poor.
1288,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1289,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1290,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1291,Complaining about the Delhi traffic,Delhi no traffic to pagal kari de!,Delhi's traffic drives you crazy!
1292,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1293,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
1294,Talking about Diwali preparations,Diwali mate shopping kari?,Did you shop for Diwali?
1295,Asking for directions to a nearby landmark,Mandir kya taraf che?,Which way is the temple?
1296,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1297,Sharing fitness and gym experiences,Gym java thi energy vadhe che.,Going to the gym boosts energy.
1298,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1299,Discussing a friend's recent wedding,Ravi ni shaadi ma maja avi ne!,Ravi's wedding was so much fun!
1300,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1301,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1302,Discussing weekend plans,Aa weekend su plan che?,What are the plans for this weekend?
1303,Discussing a new Bollywood movie,Navi movie joyi? Bahu maja avi!,Watched the new movie? It was really fun!
1304,Talking about a recent cricket match,Kal nu match joyu? Virat superb ramyo!,Did you watch yesterday's match? Virat played superbly!
1305,Ordering food at a restaurant,Ek pizza ane cold drink lai aavjo.,Please get one pizza and a cold drink.
1306,Planning a trip to Goa,Goa java nu plan banaviye?,Shall we plan a trip to Goa?
